#[FileName]
##
#FileName=
#[FileName]
##
#Scan_FileName=D:\Измерения\Лабораторные работы\2023_V34022_Min\PbS СД фаза 174+фонарик.arc_data
## *** Note this is the base FileName and may not be the final Scan_FileName
#Routine_FileName= "Not Saved"
#Type=SinglePoint
#TimeStamp=11/10/2023 12:38:41 PM
##
#[NCL]
##
#Serial=210436
#Model=Spectra-Hub1
#WaveUnits=nm
#routine=ScanMono1
#Mono1Use=Active
#Mono1Serial=25580345
#Mono2Use=none
#Ch1Use=Active
#Ch2Use=none
#Ch3Use=none
#Shutter1Use=none
#Shutter2Use=none
#FilterUse=none
#FilterUse2=none
##
#[NCL_Acquisition]
##
#IntegrationTime=200
#IntegrationTime_Units=milliSeconds
#Storage=postFixed
#Operator=
#DataCalc=ch1
#Data_Channel_Num=1
#RefCalc=ch1
#Readings_per_Point=1
#DarkReading=0
#Cycles=1
#Cycle_Delay=0
#Cycle_Delay_Units=milliSeconds
##
#[NCL_Acquisition_Mono1]
##
#Start_nm=900.0000
#Start_(nm)=900.0000
#Stop_nm=1500.0000
#Stop_nm(nm)=1500.0000
#Increment=3.0000
#Increment_(nm)=3.0000
#PauseAfterMove=0
#PostMoveSettleTime=0
#Backwards_Scan=false
##
#[NCL_Triggers]
##
#InputTriggerOn=0
#InputTriggerOn_Str=false
#OutputTriggerOn=0
#OutputTriggerOn_Str=false
##
#[NCL_Ch1]
##
#Units=Micro Volts
#Unit_Index=2
#Type=IR
#Mode=voltage
#Gain=0
#unipolar=0
##
#[SR510_LockIn]
##
#SR510_Present=0
##
#[NCL_Mono1]
##
#Model=SP-2-500i
#Serial=25580345
#Grating=3
#Grating_Density=150
#Grating_Blaze=1.2um
#Use_Band_Pass_Slits=0
#Entry_Index=1
#Entry=side
#EntryType=Manual Slit
#EntryWidth=0
#EntryWidth_units=microns
#Exit_Index=4
#Exit=side
#ExitType=Manual Slit
#ExitWidth=0
#ExitWidth_units=microns
#Use_BandPass_Slit=0
#
#Wavelength	         Reading
#

  900.0000	-5397.79663085938
  903.0000	-11672.9736328125
  906.0000	-3752.70843505859
  909.0000	-2574.92065429688
  912.0000	-7901.19171142578
  915.0000	 2007.48443603516
  918.0000	 2121.92535400391
  921.0000	-4529.95300292969
  924.0000	-1554.48913574219
  927.0000	-1802.44445800781
  930.0000	-2455.71136474609
  933.0000	 10137.5579833984
  936.0000	 16069.4122314453
  939.0000	 12602.8060913086
  942.0000	 281.333923339844
  945.0000	 11649.1317749023
  948.0000	-3247.26104736328
  951.0000	 2088.54675292969
  954.0000	 13527.8701782227
  957.0000	 16536.7126464844
  960.0000	 6089.21051025391
  963.0000	 9984.97009277344
  966.0000	 19364.3569946289
  969.0000	 23703.5751342773
  972.0000	 19412.0407104492
  975.0000	 13599.3957519531
  978.0000	  17552.375793457
  981.0000	 16007.4234008789
  984.0000	 19249.9160766602
  987.0000	 33950.8056640625
  990.0000	 35595.8938598633
  993.0000	 46982.7651977539
  996.0000	      65917.96875
  999.0000	  61802.864074707
 1002.0000	 49247.7416992188
 1005.0000	 55632.5912475586
 1008.0000	 57106.0180664063
 1011.0000	 50930.9768676758
 1014.0000	 66094.3984985352
 1017.0000	 60091.0186767578
 1020.0000	 93331.3369750977
 1023.0000	 102405.548095703
 1026.0000	 98810.1959228516
 1029.0000	 101871.490478516
 1032.0000	 98462.1047973633
 1035.0000	 93107.2235107422
 1038.0000	 104489.326477051
 1041.0000	 116395.950317383
 1044.0000	 112757.682800293
 1047.0000	  130052.56652832
 1050.0000	 138115.882873535
 1053.0000	 128312.110900879
 1056.0000	 149564.743041992
 1059.0000	 135869.979858398
 1062.0000	 132508.277893066
 1065.0000	   125122.0703125
 1068.0000	 150151.252746582
 1071.0000	 145273.208618164
 1074.0000	 159554.481506348
 1077.0000	 147500.038146973
 1080.0000	 153040.885925293
 1083.0000	 161170.959472656
 1086.0000	 154938.697814941
 1089.0000	 146999.359130859
 1092.0000	 164928.436279297
 1095.0000	 172295.570373535
 1098.0000	 145721.435546875
 1101.0000	 152349.472045898
 1104.0000	 135369.300842285
 1107.0000	 123395.919799805
 1110.0000	 130996.704101563
 1113.0000	 141057.968139648
 1116.0000	 136313.438415527
 1119.0000	 131874.084472656
 1122.0000	 123128.890991211
 1125.0000	 100274.085998535
 1128.0000	 99658.9660644531
 1131.0000	 91471.6720581055
 1134.0000	 105133.056640625
 1137.0000	 105123.519897461
 1140.0000	 110540.390014648
 1143.0000	 78339.5767211914
 1146.0000	 59876.4419555664
 1149.0000	 50263.4048461914
 1152.0000	 62742.2332763672
 1155.0000	 70767.4026489258
 1158.0000	 91176.0330200195
 1161.0000	 74477.1957397461
 1164.0000	 54006.5765380859
 1167.0000	 33497.8103637695
 1170.0000	 39658.5464477539
 1173.0000	 26741.0278320313
 1176.0000	 41880.6076049805
 1179.0000	 44689.1784667969
 1182.0000	 52351.9515991211
 1185.0000	 38318.6340332031
 1188.0000	 24423.5992431641
 1191.0000	  17242.431640625
 1194.0000	 22082.3287963867
 1197.0000	 25296.2112426758
 1200.0000	 26388.1683349609
 1203.0000	  30055.046081543
 1206.0000	 10910.0341796875
 1209.0000	 11706.3522338867
 1212.0000	 14057.1594238281
 1215.0000	 4205.70373535156
 1218.0000	 10595.3216552734
 1221.0000	 17666.8167114258
 1224.0000	 16250.6103515625
 1227.0000	 7338.52386474609
 1230.0000	 4897.11761474609
 1233.0000	-3008.84246826172
 1236.0000	 3795.62377929688
 1239.0000	 10313.9877319336
 1242.0000	 2689.36157226563
 1245.0000	-8144.37866210938
 1248.0000	-2427.10113525391
 1251.0000	-6003.37982177734
 1254.0000	-5793.57147216797
 1257.0000	-6308.55560302734
 1260.0000	-5297.66082763672
 1263.0000	-286.102294921875
 1266.0000	 1325.60729980469
 1269.0000	-5965.23284912109
 1272.0000	-6394.38629150391
 1275.0000	-9021.75903320313
 1278.0000	 1187.32452392578
 1281.0000	-2608.29925537109
 1284.0000	 3991.12701416016
 1287.0000	-3571.51031494141
 1290.0000	-3018.37921142578
 1293.0000	   5035.400390625
 1296.0000	 6628.03649902344
 1299.0000	   -2746.58203125
 1302.0000	 7987.02239990234
 1305.0000	 -724.79248046875
 1308.0000	-1792.90771484375
 1311.0000	-4100.79956054688
 1314.0000	-6837.84484863281
 1317.0000	-7305.14526367188
 1320.0000	-748.634338378906
 1323.0000	 710.487365722656
 1326.0000	-1769.06585693359
 1329.0000	-8263.58795166016
 1332.0000	 -10838.508605957
 1335.0000	-1692.77191162109
 1338.0000	-9922.98126220703
 1341.0000	-4248.61907958984
 1344.0000	-2241.13464355469
 1347.0000	 2279.28161621094
 1350.0000	-4796.98181152344
 1353.0000	-519.752502441406
 1356.0000	-9288.78784179688
 1359.0000	   -457.763671875
 1362.0000	-4935.26458740234
 1365.0000	-9288.78784179688
 1368.0000	-128.746032714844
 1371.0000	 438.690185546875
 1374.0000	-8244.51446533203
 1377.0000	 753.402709960938
 1380.0000	-11301.0406494141
 1383.0000	-10871.8872070313
 1386.0000	 -13117.790222168
 1389.0000	-10175.7049560547
 1392.0000	-8630.75256347656
 1395.0000	-3080.36804199219
 1398.0000	-3457.06939697266
 1401.0000	-9865.76080322266
 1404.0000	-4353.52325439453
 1407.0000	-10471.3439941406
 1410.0000	-6794.92950439453
 1413.0000	-11076.9271850586
 1416.0000	-3142.35687255859
 1419.0000	-7519.72198486328
 1422.0000	-10318.7561035156
 1425.0000	-7910.72845458984
 1428.0000	-2541.54205322266
 1431.0000	-8969.30694580078
 1434.0000	-3867.14935302734
 1437.0000	-12960.4339599609
 1440.0000	     -8544.921875
 1443.0000	-2169.60906982422
 1446.0000	-8664.13116455078
 1449.0000	-6051.06353759766
 1452.0000	-11506.0806274414
 1455.0000	-11868.4768676758
 1458.0000	-8378.02886962891
 1461.0000	-14142.9901123047
 1464.0000	-5254.74548339844
 1467.0000	-13508.7966918945
 1470.0000	-4892.34924316406
 1473.0000	-1716.61376953125
 1476.0000	-12187.9577636719
 1479.0000	-13828.2775878906
 1482.0000	-11401.1764526367
 1485.0000	-13241.7678833008
 1488.0000	-8220.67260742188
 1491.0000	-11816.0247802734
 1494.0000	-6752.01416015625
 1497.0000	-6227.49328613281
 1500.0000	-10466.5756225586
