#[FileName]
##
#FileName=
#[FileName]
##
#Scan_FileName=D:\Измерения\Лабораторные работы\2023_V34022_Min\PbS СД фаза 174.arc_data
## *** Note this is the base FileName and may not be the final Scan_FileName
#Routine_FileName= "Not Saved"
#Type=SinglePoint
#TimeStamp=11/10/2023 12:37:10 PM
##
#[NCL]
##
#Serial=210436
#Model=Spectra-Hub1
#WaveUnits=nm
#routine=ScanMono1
#Mono1Use=Active
#Mono1Serial=25580345
#Mono2Use=none
#Ch1Use=Active
#Ch2Use=none
#Ch3Use=none
#Shutter1Use=none
#Shutter2Use=none
#FilterUse=none
#FilterUse2=none
##
#[NCL_Acquisition]
##
#IntegrationTime=200
#IntegrationTime_Units=milliSeconds
#Storage=postFixed
#Operator=
#DataCalc=ch1
#Data_Channel_Num=1
#RefCalc=ch1
#Readings_per_Point=1
#DarkReading=0
#Cycles=1
#Cycle_Delay=0
#Cycle_Delay_Units=milliSeconds
##
#[NCL_Acquisition_Mono1]
##
#Start_nm=900.0000
#Start_(nm)=900.0000
#Stop_nm=1500.0000
#Stop_nm(nm)=1500.0000
#Increment=3.0000
#Increment_(nm)=3.0000
#PauseAfterMove=0
#PostMoveSettleTime=0
#Backwards_Scan=false
##
#[NCL_Triggers]
##
#InputTriggerOn=0
#InputTriggerOn_Str=false
#OutputTriggerOn=0
#OutputTriggerOn_Str=false
##
#[NCL_Ch1]
##
#Units=Micro Volts
#Unit_Index=2
#Type=IR
#Mode=voltage
#Gain=0
#unipolar=0
##
#[SR510_LockIn]
##
#SR510_Present=0
##
#[NCL_Mono1]
##
#Model=SP-2-500i
#Serial=25580345
#Grating=3
#Grating_Density=150
#Grating_Blaze=1.2um
#Use_Band_Pass_Slits=0
#Entry_Index=1
#Entry=side
#EntryType=Manual Slit
#EntryWidth=0
#EntryWidth_units=microns
#Exit_Index=4
#Exit=side
#ExitType=Manual Slit
#ExitWidth=0
#ExitWidth_units=microns
#Use_BandPass_Slit=0
#
#Wavelength	         Reading
#

  900.0000	-7266.99829101563
  903.0000	-4100.79956054688
  906.0000	-8869.17114257813
  909.0000	-2045.63140869141
  912.0000	-6470.68023681641
  915.0000	-9341.23992919922
  918.0000	-1187.32452392578
  921.0000	-7648.46801757813
  924.0000	-4324.91302490234
  927.0000	 -1754.7607421875
  930.0000	-7939.33868408203
  933.0000	-3643.03588867188
  936.0000	 295.639038085938
  939.0000	-13046.2646484375
  942.0000	-5955.69610595703
  945.0000	 1726.15051269531
  948.0000	 1878.73840332031
  951.0000	 624.656677246094
  954.0000	-2479.55322265625
  957.0000	 7658.00476074219
  960.0000	 12884.1400146484
  963.0000	  12660.026550293
  966.0000	 20561.2182617188
  969.0000	 22478.1036376953
  972.0000	 12674.3316650391
  975.0000	 25234.2224121094
  978.0000	  22740.364074707
  981.0000	 26254.6539306641
  984.0000	 40364.2654418945
  987.0000	 45547.4853515625
  990.0000	 43125.1525878906
  993.0000	 51140.7852172852
  996.0000	 49920.0820922852
  999.0000	    57983.3984375
 1002.0000	 54464.3402099609
 1005.0000	 57015.4190063477
 1008.0000	 65879.8217773438
 1011.0000	 74400.9017944336
 1014.0000	 90112.6861572266
 1017.0000	 88000.2975463867
 1020.0000	 89354.5150756836
 1023.0000	 98605.1559448242
 1026.0000	 93193.0541992188
 1029.0000	 106840.133666992
 1032.0000	 115585.327148438
 1035.0000	  111999.51171875
 1038.0000	 118589.401245117
 1041.0000	 124850.273132324
 1044.0000	 118112.564086914
 1047.0000	 129175.186157227
 1050.0000	 129899.978637695
 1053.0000	 144529.342651367
 1056.0000	  143785.47668457
 1059.0000	 155305.862426758
 1062.0000	 150299.072265625
 1065.0000	 149459.838867188
 1068.0000	 152778.625488281
 1071.0000	 165114.402770996
 1074.0000	 169520.378112793
 1077.0000	 168929.100036621
 1080.0000	 173382.759094238
 1083.0000	 173492.431640625
 1086.0000	  165123.93951416
 1089.0000	 166053.771972656
 1092.0000	 171060.562133789
 1095.0000	 160007.476806641
 1098.0000	 165524.482727051
 1101.0000	 157299.041748047
 1104.0000	 163187.980651855
 1107.0000	 160822.868347168
 1110.0000	 155091.285705566
 1113.0000	 146303.176879883
 1116.0000	 143461.227416992
 1119.0000	 141744.613647461
 1122.0000	 136699.676513672
 1125.0000	 140628.814697266
 1128.0000	 121626.853942871
 1131.0000	 117979.049682617
 1134.0000	 117926.597595215
 1137.0000	 108861.923217773
 1140.0000	  110216.14074707
 1143.0000	 110721.588134766
 1146.0000	  91853.141784668
 1149.0000	 93708.0383300781
 1152.0000	 79159.7366333008
 1155.0000	 75287.8189086914
 1158.0000	 67820.5490112305
 1161.0000	 62446.5942382813
 1164.0000	 57396.8887329102
 1167.0000	 57425.4989624023
 1170.0000	 57592.3919677734
 1173.0000	 54135.3225708008
 1176.0000	 49076.0803222656
 1179.0000	 38828.8497924805
 1182.0000	 36730.7662963867
 1185.0000	 32410.6216430664
