#[FileName]
##
#FileName=
#[FileName]
##
#Scan_FileName=D:\Измерения\Лабораторные работы\2023_V34022_Min\PbS имсходный +фонарик.arc_data
## *** Note this is the base FileName and may not be the final Scan_FileName
#Routine_FileName= "Not Saved"
#Type=SinglePoint
#TimeStamp=11/10/2023 12:40:42 PM
##
#[NCL]
##
#Serial=210436
#Model=Spectra-Hub1
#WaveUnits=nm
#routine=ScanMono1
#Mono1Use=Active
#Mono1Serial=25580345
#Mono2Use=none
#Ch1Use=Active
#Ch2Use=none
#Ch3Use=none
#Shutter1Use=none
#Shutter2Use=none
#FilterUse=none
#FilterUse2=none
##
#[NCL_Acquisition]
##
#IntegrationTime=200
#IntegrationTime_Units=milliSeconds
#Storage=postFixed
#Operator=
#DataCalc=ch1
#Data_Channel_Num=1
#RefCalc=ch1
#Readings_per_Point=1
#DarkReading=0
#Cycles=1
#Cycle_Delay=0
#Cycle_Delay_Units=milliSeconds
##
#[NCL_Acquisition_Mono1]
##
#Start_nm=900.0000
#Start_(nm)=900.0000
#Stop_nm=1500.0000
#Stop_nm(nm)=1500.0000
#Increment=3.0000
#Increment_(nm)=3.0000
#PauseAfterMove=0
#PostMoveSettleTime=0
#Backwards_Scan=false
##
#[NCL_Triggers]
##
#InputTriggerOn=0
#InputTriggerOn_Str=false
#OutputTriggerOn=0
#OutputTriggerOn_Str=false
##
#[NCL_Ch1]
##
#Units=Micro Volts
#Unit_Index=2
#Type=IR
#Mode=voltage
#Gain=0
#unipolar=0
##
#[SR510_LockIn]
##
#SR510_Present=0
##
#[NCL_Mono1]
##
#Model=SP-2-500i
#Serial=25580345
#Grating=3
#Grating_Density=150
#Grating_Blaze=1.2um
#Use_Band_Pass_Slits=0
#Entry_Index=1
#Entry=side
#EntryType=Manual Slit
#EntryWidth=0
#EntryWidth_units=microns
#Exit_Index=4
#Exit=side
#ExitType=Manual Slit
#ExitWidth=0
#ExitWidth_units=microns
#Use_BandPass_Slit=0
#
#Wavelength	         Reading
#

  900.0000	 1592.63610839844
  903.0000	 1606.94122314453
  906.0000	 1630.78308105469
  909.0000	 1564.02587890625
  912.0000	 1664.16168212891
  915.0000	 1654.62493896484
  918.0000	 1816.74957275391
  921.0000	 1859.66491699219
  924.0000	 1935.95886230469
  927.0000	 2117.15698242188
  930.0000	 2102.85186767578
  933.0000	 2260.20812988281
  936.0000	 2326.96533203125
  939.0000	 2427.10113525391
  942.0000	 2522.46856689453
  945.0000	 2632.14111328125
  948.0000	 2832.41271972656
  951.0000	 2913.47503662109
  954.0000	 2932.54852294922
  957.0000	 3156.66198730469
  960.0000	  3433.2275390625
  963.0000	 3490.44799804688
  966.0000	 3767.01354980469
  969.0000	 4072.18933105469
  972.0000	 4391.67022705078
  975.0000	  4653.9306640625
  978.0000	 5011.55853271484
  981.0000	 5326.27105712891
  984.0000	 5745.88775634766
  987.0000	 6232.26165771484
  990.0000	 6656.64672851563
  993.0000	 7057.18994140625
  996.0000	 7591.24755859375
  999.0000	 7991.79077148438
 1002.0000	 8583.06884765625
 1005.0000	 9222.03063964844
 1008.0000	 9799.00360107422
 1011.0000	 10342.5979614258
 1014.0000	 11019.7067260742
 1017.0000	 11634.8266601563
 1020.0000	 12297.6303100586
 1023.0000	 12884.1400146484
 1026.0000	 13494.4915771484
 1029.0000	 14009.4757080078
 1032.0000	 14586.4486694336
 1035.0000	 15363.6932373047
 1038.0000	  16331.672668457
 1041.0000	 17147.0642089844
 1044.0000	 17166.1376953125
 1047.0000	 17967.2241210938
 1050.0000	 18386.8408203125
 1053.0000	 19650.4592895508
 1056.0000	 20961.7614746094
 1059.0000	 21805.7632446289
 1062.0000	 21739.0060424805
 1065.0000	 22091.8655395508
 1068.0000	 22501.9454956055
 1071.0000	 22649.7650146484
 1074.0000	 22916.7938232422
 1077.0000	 23307.8002929688
 1080.0000	 23627.2811889648
 1083.0000	 23384.0942382813
 1086.0000	 23450.8514404297
 1089.0000	 23331.6421508789
 1092.0000	     23193.359375
 1095.0000	 23055.0765991211
 1098.0000	 22683.1436157227
 1101.0000	 22172.9278564453
 1104.0000	 21867.7520751953
 1107.0000	 21276.4739990234
 1110.0000	 20861.6256713867
 1113.0000	 20403.8619995117
 1116.0000	 19903.1829833984
 1119.0000	 19307.1365356445
 1122.0000	   18615.72265625
 1125.0000	 17728.8055419922
 1128.0000	 16746.5209960938
 1131.0000	 15602.1118164063
 1134.0000	 14553.0700683594
 1137.0000	 14023.7808227539
 1140.0000	 13375.2822875977
 1143.0000	 12617.1112060547
 1146.0000	 11968.6126708984
 1149.0000	 11363.0294799805
 1152.0000	 10733.6044311523
 1155.0000	 10609.6267700195
 1158.0000	 10347.3663330078
 1161.0000	  9841.9189453125
 1164.0000	 9274.48272705078
 1167.0000	 8726.11999511719
 1170.0000	 8320.80841064453
 1173.0000	 7653.23638916016
 1176.0000	 7314.68200683594
 1179.0000	 6961.82250976563
 1182.0000	 6537.43743896484
 1185.0000	 6074.90539550781
 1188.0000	 5855.56030273438
 1191.0000	 5650.52032470703
 1194.0000	 5450.24871826172
 1197.0000	 5350.11291503906
 1200.0000	 4873.27575683594
 1203.0000	 4658.69903564453
 1206.0000	  4653.9306640625
 1209.0000	 4320.14465332031
 1212.0000	 4248.61907958984
 1215.0000	 4086.49444580078
 1218.0000	 3900.52795410156
 1221.0000	 3781.31866455078
 1224.0000	 3581.04705810547
 1227.0000	 3318.78662109375
 1230.0000	 3218.65081787109
 1233.0000	 3061.29455566406
 1236.0000	 2956.39038085938
 1239.0000	 2884.86480712891
 1242.0000	 2775.19226074219
 1245.0000	 2608.29925537109
 1248.0000	 2636.90948486328
 1251.0000	 2555.84716796875
 1254.0000	 2503.39508056641
 1257.0000	 2527.23693847656
 1260.0000	 2393.72253417969
 1263.0000	 2374.64904785156
 1266.0000	 2346.03881835938
 1269.0000	 2369.88067626953
 1272.0000	 2160.07232666016
 1275.0000	 2279.28161621094
 1278.0000	 2231.59790039063
 1281.0000	 2188.68255615234
 1284.0000	 2107.62023925781
 1287.0000	 2098.08349609375
 1290.0000	 2021.78955078125
 1293.0000	 2036.09466552734
 1296.0000	 1978.87420654297
 1299.0000	 1950.26397705078
 1302.0000	   1983.642578125
 1305.0000	 1940.72723388672
 1308.0000	 1893.04351806641
 1311.0000	 1802.44445800781
 1314.0000	 1864.43328857422
 1317.0000	 1807.21282958984
 1320.0000	 1869.20166015625
 1323.0000	 1807.21282958984
 1326.0000	 1826.28631591797
 1329.0000	 1845.35980224609
 1332.0000	 1826.28631591797
 1335.0000	 1840.59143066406
 1338.0000	 1826.28631591797
 1341.0000	 1783.37097167969
 1344.0000	 1792.90771484375
 1347.0000	 1702.30865478516
 1350.0000	 1702.30865478516
 1353.0000	 1649.85656738281
 1356.0000	 1697.54028320313
 1359.0000	 1702.30865478516
 1362.0000	 1683.23516845703
 1365.0000	 1640.31982421875
 1368.0000	 1568.79425048828
 1371.0000	  1602.1728515625
