#Wavelength	         Reading
#

  500.0000	-8802.41394042969
  503.0000	-6279.94537353516
  506.0000	-1540.18402099609
  509.0000	-3757.47680664063
  512.0000	-9121.89483642578
  515.0000	-3838.53912353516
  518.0000	-4487.03765869141
  521.0000	 90.5990600585938
  524.0000	 2245.90301513672
  527.0000	-4916.19110107422
  530.0000	-7658.00476074219
  533.0000	   -6408.69140625
  536.0000	 -6179.8095703125
  539.0000	-8769.03533935547
  542.0000	-14095.3063964844
  545.0000	-1406.66961669922
  548.0000	-4448.89068603516
  551.0000	 1492.50030517578
  554.0000	 6155.96771240234
  557.0000	-2241.13464355469
  560.0000	-5459.78546142578
  563.0000	-1320.83892822266
  566.0000	-2932.54852294922
  569.0000	-3709.79309082031
  572.0000	 3285.40802001953
  575.0000	-3762.24517822266
  578.0000	-5455.01708984375
  581.0000	-5483.62731933594
  584.0000	-5636.21520996094
  587.0000	-10499.9542236328
  590.0000	-10132.7896118164
  593.0000	 629.425048828125
  596.0000	-9975.43334960938
  599.0000	 2188.68255615234
  602.0000	  -4730.224609375
  605.0000	-8230.20935058594
  608.0000	-22859.5733642578
  611.0000	-50649.6429443359
  614.0000	-132498.741149902
  617.0000	-329504.013061523
  620.0000	-669221.878051758
  623.0000	-895490.646362305
  626.0000	-996088.981628418
  629.0000	-1075992.58422852
  632.0000	-1134290.69519043
  635.0000	-1210050.58288574
  638.0000	-1271696.09069824
  641.0000	-1287746.42944336
  644.0000	-1317501.06811523
  647.0000	-1270442.00897217
  650.0000	  -1172776.222229
  653.0000	    -974121.09375
  656.0000	-528650.283813477
  659.0000	-150532.722473145
  662.0000	-21309.8526000977
  665.0000	-9946.82312011719
  668.0000	-10581.0165405273
  671.0000	-4944.80133056641
  674.0000	-5006.79016113281
  677.0000	 -5874.6337890625
  680.0000	-12316.7037963867
  683.0000	-15935.8978271484
  686.0000	-13208.3892822266
  689.0000	-12240.4098510742
  692.0000	-12340.5456542969
  695.0000	-2236.36627197266
  698.0000	-4286.76605224609
  701.0000	-11420.2499389648
