#[FileName]
##
#FileName=
#[FileName]
##
#Scan_FileName=D:\Измерения\Лабораторные работы\2023_V34022_Min\лазер исходный СД фаза 84 град.arc_data
## *** Note this is the base FileName and may not be the final Scan_FileName
#Routine_FileName= "Not Saved"
#Type=SinglePoint
#TimeStamp=11/10/2023 12:30:49 PM
##
#[NCL]
##
#Serial=210436
#Model=Spectra-Hub1
#WaveUnits=nm
#routine=ScanMono1
#Mono1Use=Active
#Mono1Serial=25580345
#Mono2Use=none
#Ch1Use=Active
#Ch2Use=none
#Ch3Use=none
#Shutter1Use=none
#Shutter2Use=none
#FilterUse=none
#FilterUse2=none
##
#[NCL_Acquisition]
##
#IntegrationTime=200
#IntegrationTime_Units=milliSeconds
#Storage=postFixed
#Operator=
#DataCalc=ch1
#Data_Channel_Num=1
#RefCalc=ch1
#Readings_per_Point=1
#DarkReading=0
#Cycles=1
#Cycle_Delay=0
#Cycle_Delay_Units=milliSeconds
##
#[NCL_Acquisition_Mono1]
##
#Start_nm=500.0000
#Start_(nm)=500.0000
#Stop_nm=700.0000
#Stop_nm(nm)=700.0000
#Increment=3.0000
#Increment_(nm)=3.0000
#PauseAfterMove=0
#PostMoveSettleTime=0
#Backwards_Scan=false
##
#[NCL_Triggers]
##
#InputTriggerOn=0
#InputTriggerOn_Str=false
#OutputTriggerOn=0
#OutputTriggerOn_Str=false
##
#[NCL_Ch1]
##
#Units=Micro Volts
#Unit_Index=2
#Type=IR
#Mode=voltage
#Gain=0
#unipolar=0
##
#[SR510_LockIn]
##
#SR510_Present=0
##
#[NCL_Mono1]
##
#Model=SP-2-500i
#Serial=25580345
#Grating=3
#Grating_Density=150
#Grating_Blaze=1.2um
#Use_Band_Pass_Slits=0
#Entry_Index=1
#Entry=side
#EntryType=Manual Slit
#EntryWidth=0
#EntryWidth_units=microns
#Exit_Index=4
#Exit=side
#ExitType=Manual Slit
#ExitWidth=0
#ExitWidth_units=microns
#Use_BandPass_Slit=0
#
#Wavelength	         Reading
#

  500.0000	-12111.6638183594
  503.0000	 1292.22869873047
  506.0000	-6957.05413818359
  509.0000	-14429.0924072266
  512.0000	-15840.5303955078
  515.0000	-4429.81719970703
  518.0000	-12197.4945068359
  521.0000	   -3356.93359375
  524.0000	-8378.02886962891
  527.0000	-11844.6350097656
  530.0000	-5655.28869628906
  533.0000	 1811.98120117188
  536.0000	-1912.11700439453
  539.0000	-8654.59442138672
  542.0000	-5483.62731933594
  545.0000	-6566.04766845703
  548.0000	-3581.04705810547
  551.0000	 1587.86773681641
  554.0000	-8196.83074951172
  557.0000	  -18005.37109375
  560.0000	-8387.56561279297
  563.0000	-6346.70257568359
  566.0000	-6852.14996337891
  569.0000	-4143.71490478516
  572.0000	-6694.79370117188
  575.0000	-8974.07531738281
  578.0000	-2002.71606445313
  581.0000	 920.295715332031
  584.0000	-6680.48858642578
  587.0000	-4630.08880615234
  590.0000	-9508.13293457031
  593.0000	-9198.18878173828
  596.0000	-4105.56793212891
  599.0000	-6990.43273925781
  602.0000	-4825.59204101563
  605.0000	-8749.96185302734
  608.0000	 9374.61853027344
  611.0000	 66199.3026733398
  614.0000	 195660.591125488
  617.0000	 491375.923156738
  620.0000	 942502.021789551
  623.0000	 1237673.75946045
  626.0000	 1353955.26885986
  629.0000	 1453270.91217041
  632.0000	 1546435.35614014
  635.0000	 1623048.78234863
  638.0000	 1658601.76086426
  641.0000	   1670823.097229
  644.0000	 1677041.05377197
  647.0000	 1663489.34173584
  650.0000	 1553544.99816895
  653.0000	 1242351.53198242
  656.0000	 667953.491210938
  659.0000	      170898.4375
  662.0000	 10566.7114257813
  665.0000	 2655.98297119141
  668.0000	 6728.17230224609
  671.0000	-1244.54498291016
  674.0000	-2174.37744140625
  677.0000	-8945.46508789063
  680.0000	 28.6102294921875
  683.0000	-1378.05938720703
  686.0000	 3952.98004150391
  689.0000	 3523.82659912109
  692.0000	-2799.03411865234
  695.0000	-6084.44213867188
  698.0000	 5941.39099121094
  701.0000	 2937.31689453125
